Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
Richmond Aririguzoh,27,27,777,6.5,10.6,0.617,6.5,10.6,0.62,0,0.1,0,3.6,5.5,0.654,10.3,3.1,0.6,0.8,4.4,3.8,16.7
Jerome Desrosiers,27,1,336,5.8,12,0.485,2.7,4,0.676,3.1,8,0.388,1.5,2,0.765,7.9,2,0.8,0.4,1.1,3.1,16.3
Ryan Schwieger,22,18,580,5.9,12.8,0.457,3.9,7.7,0.514,1.9,5.2,0.373,2.6,2.9,0.881,4.5,4,1.1,0.2,3.7,3,16.2
Konrad Kiszka,13,0,51,4.7,11,0.429,3.9,5.5,0.714,0.8,5.5,0.143,4.7,6.3,0.75,5.5,2.4,1.6,0,2.4,2.4,14.9
Drew Friberg,27,13,700,4.3,10.1,0.424,1.3,2.6,0.511,3,7.5,0.394,1.3,1.5,0.815,5.5,1.8,1.9,0.1,0.8,2.5,12.8
Ethan Wright,26,17,632,4.2,10,0.418,1.8,3.5,0.518,2.3,6.5,0.363,1.1,1.3,0.85,6.3,1.8,1.1,0.3,1.5,3.2,11.8
Elijah Barnes,17,0,83,4.3,6.7,0.643,4.3,4.8,0.9,0,1.9,0,2.9,4.3,0.667,6.3,1.9,1.9,0,2.9,6.3,11.6
Tosan Evbuomwan,26,19,371,4.4,8.4,0.526,4,6.8,0.587,0.4,1.6,0.267,1.7,3.3,0.516,5.2,2.5,1.4,1,2.9,3.8,11
Ryan Langborg,20,9,324,4,9.5,0.416,1.4,2.2,0.611,2.6,7.3,0.356,0.4,0.4,1,4.4,1.4,1,0.6,1.4,2.6,10.9
Jose Morales,27,1,401,3.4,7.1,0.479,2,4.5,0.444,1.4,2.6,0.538,2.1,2.6,0.808,2.3,4.5,2.8,0.3,2.4,5.5,10.3
Jacob O'Connell,11,0,32,3.8,8.8,0.429,2.5,5,0.5,1.3,3.8,0.333,0,0,0,11.3,5,0,1.3,5,2.5,8.8
Max Johns,17,3,153,2.6,7.1,0.37,2.4,5,0.474,0.3,2.1,0.125,1.6,2.1,0.75,5,3.1,1.6,0.8,2.4,3.7,7.1
Charlie Bagin,11,0,36,2.2,4.4,0.5,0,0,0,2.2,4.4,0.5,0,1.1,0,4.4,3.3,0,0,6.7,2.2,6.7
Brandon Anderson,25,25,877,6.4,17.6,0.364,4.2,10.3,0.409,2.2,7.3,0.3,5.2,6.4,0.821,4.3,3.4,1.8,0.2,4.1,2.3,20.2
Tamenang Choh,27,27,850,5.8,14.8,0.392,4.9,11.7,0.418,0.9,3.1,0.292,4.3,6.5,0.655,10.4,4.2,0.9,0.7,4.7,2.6,16.8
Zach Hunsaker,27,27,886,4.9,13,0.378,2.3,5,0.473,2.6,8,0.32,3.3,3.8,0.857,4.2,1.6,1.9,0.1,2,3,15.7
Jake Shaper,8,0,23,5.2,13.9,0.375,1.7,3.5,0.5,3.5,10.4,0.333,0,1.7,0,13.9,0,1.7,1.7,5.2,5.2,13.9
Jaylan Gainey,25,13,493,5.1,7.5,0.685,5.1,7.5,0.685,0,0,0,1.8,2.6,0.688,10.3,0.7,0.9,4.4,1.8,3.8,12
Joshua Howard,25,18,451,4.3,10.7,0.405,2.9,5.6,0.524,1.4,5.1,0.276,1.4,2.2,0.64,7.8,1.1,1.3,1,1.9,3.5,11.5
Dan Friday,22,1,362,3.9,10.9,0.354,3.2,9.2,0.349,0.7,1.8,0.375,2.4,3.9,0.629,4.2,2.3,0.8,1.2,4,4.1,10.8
Matt DeWolf,23,14,274,4.5,9.1,0.5,4.4,8.6,0.508,0.1,0.4,0.333,1.5,2.3,0.625,9.3,3.6,1.8,0.6,4.1,3.5,10.7
Carsten Kogelnik,7,0,25,3.2,8,0.4,0,1.6,0,3.2,6.4,0.5,0,0,0,8,0,0,0,3.2,0,9.6
Davis Franks,11,0,39,3.1,10.3,0.3,3.1,10.3,0.3,0,0,0,2.1,5.1,0.4,17.4,4.1,2.1,1,6.2,3.1,8.2
Perry Cowan,27,8,501,2.8,9,0.31,1,3,0.316,1.8,6,0.307,0,0,0,2.2,0.8,0.8,0.2,1.1,3.3,7.4
David Mitchell,27,2,541,2.3,4.7,0.492,1.7,3.2,0.535,0.6,1.5,0.4,1.6,2.1,0.724,10.4,1.5,1.3,0.8,1.4,5.8,6.7
EJ Perry,2,0,9,0,8.9,0,0,0,0,0,8.9,0,4.4,8.9,0.5,4.4,4.4,4.4,0,4.4,8.9,4.4
Josh Watts,13,0,69,1.2,8.1,0.143,0.6,0.6,1,0.6,7.5,0.077,1.2,2.3,0.5,2.9,1.7,1.2,0,1.7,3.5,4.1
Chris Knight,29,28,732,10.2,18.3,0.555,10.1,17.5,0.578,0.1,0.8,0.067,3.1,5.1,0.606,10.1,3.1,1.4,1.9,4.2,3.6,23.5
Demilade Adelekun,9,0,23,10.4,19.1,0.545,10.4,19.1,0.545,0,0,0,0,1.7,0,12.2,3.5,0,3.5,1.7,8.7,20.9
Jackson Blaufeld,10,0,23,7,13.9,0.5,3.5,5.2,0.667,3.5,8.7,0.4,3.5,7,0.5,5.2,1.7,0,0,1.7,0,20.9
Jayden Reaves,7,0,10,8,12,0.667,4,4,1,4,8,0.5,0,0,0,4,12,4,0,0,0,20
Aaryn Rai,29,29,815,6,11.8,0.506,5.1,9,0.56,0.9,2.8,0.333,3,4.3,0.713,9.2,2.4,1.1,0.7,3.4,3.5,16
James Foye,29,29,880,4.3,10.3,0.42,1.6,3.9,0.412,2.7,6.4,0.426,1.4,1.8,0.75,4.3,2.8,0.8,0.2,1.5,2.8,12.7
Trevon Ary-Turner,26,3,510,4.1,9.9,0.413,1.9,3.9,0.48,2.2,6,0.368,1.4,2.3,0.621,2.7,2,0.5,0.2,2.7,3.9,11.8
Taurus Samuels,29,28,844,4,10.6,0.379,2.5,5,0.495,1.6,5.6,0.277,2,2.7,0.737,3.7,2.8,0.9,0.1,1.8,3.1,11.6
Ian Sistare,29,27,747,3.4,9.7,0.346,1.6,3.4,0.46,1.8,6.4,0.286,2.4,3,0.786,7.6,1.9,0.5,0.2,1.6,2.4,10.9
Ian Carter,29,1,351,3.5,9.2,0.383,3.5,8.1,0.437,0,1.1,0,2.4,3.4,0.7,8.3,2.2,0.8,0.9,2.6,4.4,9.5
Garrison Wade,27,0,247,3.6,9.2,0.386,2.4,3.6,0.682,1.1,5.7,0.2,0.5,1,0.5,6.3,1.6,1.1,0,1.6,3.4,8.7
Nathaniel Ogbu,20,0,57,2.1,7,0.3,1.4,5.6,0.25,0.7,1.4,0.5,3.5,6.3,0.556,9.1,3.5,0.7,0,1.4,9.8,8.4
Isaac Letoa,2,0,13,3.1,9.2,0.333,3.1,9.2,0.333,0,0,0,0,0,0,6.2,0,0,0,0,0,6.2
Wes Slajchert,29,0,505,1.9,5.3,0.358,0.7,1.6,0.45,1.2,3.7,0.319,0.6,1.2,0.533,4.4,2.5,1.2,0,1.7,3.3,5.6
Paul Hudson,22,0,90,1.8,3.6,0.5,1.8,3.1,0.571,0,0.4,0,0.4,2.2,0.2,6.7,1.3,0.9,0.9,2.2,1.8,4
Ben Swett,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13.3,0,0,0,0,0,0
Noah Gear,9,1,28,10,12.9,0.778,10,11.4,0.875,0,1.4,0,4.3,5.7,0.75,5.7,1.4,0,1.4,1.4,5.7,24.3
Jimmy Boeheim,21,19,642,8,18.6,0.43,6,12,0.503,1.9,6.5,0.295,3.9,5.5,0.716,7.4,2.5,0.9,0.4,2.5,1.9,21.8
Terrance McBride,27,27,888,5.8,12.1,0.476,4.5,8.1,0.556,1.3,4,0.315,2.6,3.4,0.773,4.6,3.9,1.3,0.1,2.2,1.5,15.4
Dean Noll,27,1,470,5,12.3,0.407,3.2,6.9,0.469,1.8,5.4,0.328,2.9,3.6,0.81,5.4,3,2.5,0.6,2.8,4.6,14.7
Jordan Jones,14,6,281,5,14.1,0.354,2.1,4.1,0.517,2.8,10,0.286,1.7,2,0.857,6.3,1.1,1.3,0.3,1.4,4.4,14.5
Greg Dolan,22,0,341,4.3,9.1,0.474,2.6,5.3,0.489,1.8,3.9,0.455,1.9,3.5,0.533,4,2.2,2.5,0.5,1.6,2.5,12.3
Josh Warren,27,27,755,4.3,8.7,0.5,3.5,6,0.584,0.8,2.7,0.314,2.5,3.6,0.706,6.8,4.6,0.8,1.1,3.6,4,12.1
Kobe Dickson,24,5,377,4.8,8.6,0.556,4.4,7.4,0.586,0.4,1.2,0.364,1.1,2.9,0.37,7.9,1.3,1,1.3,2.1,5.5,11
Bryan Knapp,27,27,724,4.1,9.6,0.431,2.8,6.5,0.432,1.3,3.1,0.429,1,1.3,0.783,3.5,2.1,1,0.2,1.3,2.8,10.6
Thurston McCarty,21,7,267,3.6,10,0.358,1.8,3.7,0.48,1.8,6.3,0.286,1.6,2.2,0.733,5.2,0.9,0.4,1.2,0.7,4.9,10.6
Riley Voss,26,15,403,3.5,9.1,0.38,1.6,3.8,0.421,1.9,5.4,0.352,0,0.3,0,5.9,4,2.1,0.5,1.9,4.5,8.8
Chaz Mack,7,0,21,1.9,9.5,0.2,1.9,5.7,0.333,0,3.8,0,3.8,11.4,0.333,3.8,1.9,0,0,3.8,7.6,7.6
Marcus Filien,20,0,234,2.2,5.8,0.382,1.5,2.9,0.529,0.7,2.9,0.235,1.5,2.1,0.75,9.1,0.7,1.9,0.7,1.5,3.8,6.7
Max Samberg,11,0,32,0,1.3,0,0,1.3,0,0,0,0,2.5,2.5,1,7.5,2.5,0,0,3.8,5,2.5
Matt Harshany,7,0,10,0,12,0,0,4,0,0,8,0,0,0,0,8,4,8,0,4,0,0
Chuks Uzoka,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Smith,30,30,1132,8.8,20.5,0.431,6.6,14,0.474,2.2,6.5,0.339,4.3,5.3,0.813,4.3,4.7,1.6,0,3.1,1.6,24.2
Ike Nweke,27,23,609,7.2,13.6,0.527,7.2,13.6,0.527,0,0,0,2.8,3.4,0.808,9.5,1.1,0.8,0.7,2.4,4.5,17.1
Asa Shannon,4,0,21,5.7,9.5,0.6,3.8,3.8,1,1.9,5.7,0.333,3.8,3.8,1,9.5,1.9,0,1.9,5.7,9.5,17.1
Jack Forrest,27,5,690,5.3,14.1,0.377,3.1,7.9,0.397,2.2,6.3,0.352,1.1,1.8,0.613,5.1,1,0.5,0.2,1.8,3.4,14
Randy Brumant,29,29,721,3.9,9,0.436,3.2,6.2,0.518,0.7,2.8,0.255,1.6,2.5,0.644,8.8,1.9,1.1,1.8,1.9,4.2,10.2
Tai Bibbs,30,30,803,3.2,9.2,0.348,2,4.6,0.435,1.2,4.6,0.261,2.1,3.2,0.656,5.1,1.2,1.4,0.3,1.2,2.6,9.7
Jake Killingsworth,30,30,1006,3.1,8.5,0.367,1.1,2.4,0.467,2,6.2,0.329,0.6,0.8,0.737,6.4,1.9,0.9,0.2,1.3,1.7,8.9
Maka Ellis,6,0,164,3.7,11.7,0.313,2.4,5.9,0.417,1.2,5.9,0.208,0.2,0.5,0.5,4.6,1.2,0.2,0.2,1.7,2,8.8
Eddie Turner III,9,0,92,3.9,10.9,0.36,3,7.8,0.389,0.9,3,0.286,0,0,0,3.9,1.3,2.6,0.4,4.3,7.8,8.7
Joseph Smoyer,30,2,307,3.1,7.3,0.429,3.1,6.9,0.453,0,0.4,0,2.2,3.3,0.68,7.9,2.3,0.4,3.6,2.7,5.1,8.5
Cameron Shockley-Okeke,13,0,143,2.8,10.6,0.263,2.2,4.8,0.471,0.6,5.9,0.095,0.8,1.1,0.75,6.7,1.1,2,0.6,2.8,3.6,7
Luke Bolster,24,1,278,1.7,5.9,0.293,1.2,2.4,0.471,0.6,3.5,0.167,1,1.7,0.583,3.5,3,1.3,0,2.9,3.7,5
Emmanuel Onuama,13,0,81,2.5,5.4,0.455,2.5,5.4,0.455,0,0,0,0,1,0,9.4,1,0.5,0.5,3,6.4,4.9
Jake Klores,10,0,28,1.4,2.9,0.5,1.4,2.9,0.5,0,0,0,0,0,0,2.9,0,0,0,1.4,0,2.9
Ben Milstein,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
